gene_id,log2FoldChange,pvalue,padj
Q0045,4.541325,1.583788e-06,1.723092e-05
Q0070,8.390871,2.659896e-102,8.104703000000001e-99
Q0250,1.533806,1.132719e-06,1.290241e-05
Q0255,3.536816,1.6970940000000002e-17,1.814402e-15
YAL005C,1.245658,0.0001253947,0.0007595975
YAL011W,1.591879,2.618026e-15,2.099243e-13
YAL019W,1.062534,7.538064e-08,1.212057e-06
YAL035W,1.062684,5.235129e-07,6.618854e-06
YAL036C,1.236724,4.153908e-05,0.0002936649
YAL039C,1.207274,0.0001043957,0.0006558631
YAL053W,1.819318,2.449815e-19,3.3929930000000004e-17
YAL055W,1.277392,2.147396e-09,5.131855e-08
YAL059W,1.110309,6.921785e-05,0.000459597
YAR042W,1.474893,1.3169699999999999e-21,2.2930329999999997e-19
YBR030W,1.375207,1.536847e-07,2.273191e-06
YBR072W,1.202859,0.002485409,0.009332153
YBR083W,1.014513,2.899179e-06,2.915445e-05
YBR117C,2.217559,3.743544e-07,4.970187e-06
YBR169C,1.337446,2.88284e-07,3.947871e-06
YBR177C,1.036857,0.000146795,0.0008609901
YBR292C,1.073673,0.0001726885,0.0009835176
YCL001W-A,1.366112,0.002828962,0.01040416
YCL024W,1.093706,6.113769e-05,0.0004158182
YCR020C,1.695926,7.666659e-09,1.591494e-07
YCR024C-B,1.112336,0.0002041291,0.001128823
YCR071C,1.053841,0.0007608429,0.003447269
YCR086W,1.375214,3.569548e-12,1.686266e-10
YDL022C-A,3.219306,6.313252e-05,0.0004255858
YDL024C,1.143942,0.00189825,0.0074201
YDL042C,1.320673,9.035697e-07,1.069195e-05
YDL048C,1.569933,2.436205e-08,4.568072e-07
YDL083C,1.02914,0.007364159,0.02281288
YDL101C,1.132946,2.889951e-05,0.0002119297
YDL181W,1.631976,1.753579e-07,2.54436e-06
YDL208W,1.025928,9.285801e-05,0.0005947233
YDL239C,1.235675,2.208209e-11,8.795312e-10
YDR014W-A,1.484647,0.001252547,0.005213814
YDR034W-B,1.489597,0.001751362,0.006939401
YDR070C,1.923032,6.563762e-07,8.146552e-06
YDR113C,1.096021,5.796177e-05,0.0003959854
YDR116C,1.24719,1.607137e-12,8.094124e-11
YDR207C,1.150901,1.864527e-07,2.686154e-06
YDR218C,2.255852,9.844487e-13,5.171751e-11
YDR223W,1.319629,1.212499e-06,1.358266e-05
YDR273W,1.490913,2.711389e-11,1.044182e-09
YDR277C,1.172466,1.34378e-07,2.05238e-06
YDR310C,1.022523,9.530722e-06,8.100449e-05
YDR342C,1.167231,2.097754e-05,0.0001595969
YDR344C,1.520694,0.0007094406,0.003248183
YDR361C,1.124221,1.733523e-05,0.0001352636
