gene_id,log2FoldChange,pvalue,padj
YLR115W,1.035571,5.522622e-09,4.913042e-08
YLR121C,2.083032,7.689386e-08,5.498056e-07
YLR129W,1.857015,2.548154e-16,1.022971e-14
YLR138W,1.050316,2.735176e-11,3.916303e-10
YLR181C,1.1354,1.695178e-07,1.136629e-06
YLR182W,1.301788,5.751176e-15,1.712662e-13
YLR183C,1.172609,1.575672e-05,7.138919e-05
YLR185W,1.537565,0.001021055,0.003005361
YLR187W,1.550457,1.969264e-10,2.275235e-09
YLR190W,1.08134,0.000487435,0.001563094
YLR192C,1.942567,1.5997890000000002e-17,8.386329e-16
YLR196W,1.928866,6.078436e-12,9.886031e-11
YLR222C,1.599998,5.346691e-10,5.73842e-09
YLR223C,1.13373,0.0001443179,0.0005204141
YLR226W,1.051427,4.127215e-06,2.111203e-05
YLR244C,1.260393,0.0001309949,0.0004780788
YLR259C,1.247302,1.225207e-06,6.914137e-06
YLR260W,1.665524,8.739858e-11,1.089134e-09
YLR263W,1.727136,1.409096e-13,3.180745e-12
YLR272C,1.420814,5.059833e-09,4.552415e-08
YLR276C,1.987726,4.385312e-11,5.943597e-10
YLR287C,1.115723,0.0004211671,0.001369279
YLR293C,1.143945,4.284552e-07,2.646243e-06
YLR300W,1.120589,6.177231e-05,0.0002440666
YLR309C,1.120723,9.571759000000001e-17,4.169947e-15
YLR314C,1.272127,1.040251e-08,8.868698e-08
YLR325C,1.335557,1.103498e-07,7.658081e-07
YLR333C,1.529819,1.234268e-05,5.718746e-05
YLR335W,1.544222,4.02201e-30,1.417312e-27
YLR336C,1.323149,5.18237e-11,6.949636e-10
YLR342W,1.958583,6.974023e-14,1.681986e-12
YLR343W,1.702817,4.336151e-07,2.675507e-06
YLR344W,1.392042,0.003595652,0.009104679
YLR353W,1.876158,9.820079e-14,2.306991e-12
YLR363W-A,2.575477,3.909372e-09,3.570696e-08
YLR367W,1.006262,0.02766238,0.05491784
YLR378C,1.22353,8.361369e-05,0.0003185355
YLR380W,1.080237,0.001725984,0.004805934
YLR383W,1.712714,3.387132e-18,2.04615e-16
YLR388W,1.097369,0.02001431,0.0410711
YLR394W,1.472322,6.538241e-10,6.912011e-09
YLR399C,1.425135,2.784376e-18,1.748644e-16
